ID Number,Last Name,First Name,M.I.,Degree,Yr Lvl,Address,Contact #,Email,Acad Year,Semester,Type of Scholarship,Scholarship,Remarks
23-0191,Navarro,Ericson,N.,Bachelor of Science in Management Accounting,4th Year,"Nampican, Nueva Ecija",0948-291-2573,navarro.ericson@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,ROTC Officers,Active
22-0198,Domingo,Sarah Jane,P.,Bachelor of Physical Education,5th Year,"Sto. Domingo, Nueva Ecija",0955-298-2594,domingo.sarah@clsu2.edu.ph,2025-2026,1st Semester,Institutional,ROTC Officers,Active
26-0205,Ocampo,Renz,Q.,Bachelor of Secondary Education – Math,1st Year,"Llanera, Nueva Ecija",0962-305-2615,ocampo.renz@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Bithay,Active
25-0212,Pascual,Jhoana,S.,Bachelor of Secondary Education – Filipino,2nd Year,"Talugtug, Nueva Ecija",0969-312-2636,pascual.jhoana@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Bithay,For renewal
24-0219,Ignacio,Kevin,V.,Bachelor of Secondary Education – Values Education,3rd Year,"Peñaranda, Nueva Ecija",0976-319-2657,ignacio.kevin@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,CLSU Maestro,Documents incomplete
23-0226,Del Rosario,Maureen,W.,Bachelor of Secondary Education – English,4th Year,"Jaen, Nueva Ecija",0983-326-2678,delrosario.maureen@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Maestro,Pending verification
22-0233,Manalo,Jerico,W.,Bachelor of Secondary Education – Science,5th Year,"Rizal, Nueva Ecija",0990-333-2699,manalo.jerico@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Tanglaw,Active
22-0240,Castillo,Fatima,A.,Bachelor of Elementary Education,1st Year,"Laur, Nueva Ecija",0917-340-2720,castillo.fatima@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Tanglaw,Active
25-0247,Valdez,Noel,B.,Bachelor of Culture and Arts Education,2nd Year,"Licab, Nueva Ecija",0924-347-2741,valdez.noel@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Full Scholarship - Varsity,Active
24-0254,Salazar,Cristine,D.,Bachelor of Early Childhood Education,3rd Year,"Lupao, Nueva Ecija",0931-354-2762,salazar.cristine@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Full Scholarship - Varsity,Active
23-0261,Fernandez,Allan,D.,Bachelor of Technology and Livelihood Education – HE,4th Year,"San Antonio, Nueva Ecija",0938-361-2783,fernandez.allan@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Training Pool - Varsity,For renewal
22-0268,Lim,Kristel,E.,Bachelor of Technology and Livelihood Education – IA,5th Year,"San Leonardo, Nueva Ecija",0945-368-2804,lim.kristel@clsu2.edu.ph,2025-2026,1st Semester,Institutional,Training Pool - Varsity,Documents incomplete
24-0275,Gonzales,Denise,H.,Master in Business Administration,Graduate,"Santa Rosa, Nueva Ecija",0952-375-2825,gonzales.denise@clsu2.edu.ph,2025-2026,2nd Semester,Institutional,CLSU Faculty & Staff Development Program,Documents incomplete
24-0282,Rivera,Rafael,G.,MS Agricultural Economics,Graduate,"Cuyapo, Nueva Ecija",0959-382-2846,rivera.rafael@clsu2.edu.ph,2025-2026,1st Semester,Institutional,CLSU Faculty & Staff Development Program,Pending verification
26-0289,Bernardo,Anne,H.,Bachelor of Technology and Livelihood Education – AFA,1st Year,"Gabaldon, Nueva Ecija",0966-389-2867,bernardo.anne@clsu2.edu.ph,2025-2026,1st Semester,Government,BFAR Scholarship,Pending verification
25-0296,Marquez,Julius,J.,Bachelor of Science in Agricultural and Biosystems Engineering,2nd Year,"Palayan City, Nueva Ecija",0973-396-2888,marquez.julius@clsu2.edu.ph,2025-2026,1st Semester,Government,BFAR Scholarship,Active
24-0303,Padilla,Charmaine,K.,Bachelor of Science in Civil Engineering,3rd Year,"Carranglan, Nueva Ecija",0980-403-2909,padilla.charmaine@clsu2.edu.ph,2025-2026,1st Semester,Government,DA-ATI,Active
23-0310,Domingo,Vince,L.,Bachelor of Science in Information Technology,4th Year,"General Tinio, Nueva Ecija",0987-410-2930,domingo.vince@clsu2.edu.ph,2025-2026,1st Semester,Government,DA-ATI,Active
22-0317,Roque,Michelle,M.,Bachelor of Science in Fisheries,5th Year,"Muñoz, Nueva Ecija",0994-417-2951,roque.michelle@clsu2.edu.ph,2025-2026,1st Semester,Government,Iskolar ng LandBank,Active
26-0324,Salonga,Dominic,N.,Bachelor of Science in Food Technology,1st Year,"Cabanatuan City, Nueva Ecija",0921-424-2972,salonga.dominic@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED Tulong Dunong Program (TDP),For renewal
25-0331,De Guzman,Angelica,P.,Bachelor of Science in Hospitality Management,2nd Year,"Talavera, Nueva Ecija",0928-431-2993,deguzman.angelica@clsu2.edu.ph,2025-2026,2nd Semester,Government,CHED Tulong Dunong Program (TDP),Documents incomplete
24-0338,Amuro,Francis,R.,Bachelor of Science in Tourism Management,3rd Year,"Guimba, Nueva Ecija",0935-438-3014,amuro.francis@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED Tertiary Education Subsidy (TES),Pending verification
23-0345,Bobila,Katrina,S.,Bachelor of Science in Chemistry,4th Year,"Gapan City, Nueva Ecija",0942-445-3035,bobila.katrina@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED Tertiary Education Subsidy (TES),Active
22-0352,Efecticio,Leo,T.,Bachelor of Science in Meteorology,5th Year,"San Jose City, Nueva Ecija",0949-452-3056,efecticio.leo@clsu2.edu.ph,2025-2026,1st Semester,Government,Agricultural Competitiveness Enhancement Fund - GIAHEP,Active
26-0359,Maingat,Jasmine,V.,Bachelor of Science in Biology – Biotechnology,1st Year,"Zaragoza, Nueva Ecija",0956-459-3077,maingat.jasmine@clsu2.edu.ph,2025-2026,2nd Semester,Government,Agricultural Competitiveness Enhancement Fund - GIAHEP,Active
25-0366,Molina,Nathaniel,W.,Bachelor of Science in Biology – Zoology,2nd Year,"Aliaga, Nueva Ecija",0963-466-3098,molina.nathaniel@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED-Estatiskolar,Active
24-0373,Napigkit,Rhea,Y.,Bachelor of Science in Biology – Botany,3rd Year,"Bongabon, Nueva Ecija",0970-473-3119,napigkit.rhea@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED-Estatiskolar,For renewal
23-0380,Nocon,Carlo,B.,Bachelor of Science in Biology – Microbiology,4th Year,"Cabiao, Nueva Ecija",0977-480-3140,nocon.carlo@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-SEI (undergrad),Documents incomplete
22-0387,Taban,Trisha,C.,Bachelor of Science in Mathematics (Computer Application Track),5th Year,"Quezon, Nueva Ecija",0984-487-3161,taban.trisha@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-SEI (undergrad),Pending verification
26-0394,Concepcion,Emmanuel,D.,Bachelor of Science in Mathematics (Biomathematics),1st Year,"San Isidro, Nueva Ecija",0991-494-3182,concepcion.emmanuel@clsu2.edu.ph,2025-2026,1st Semester,Government,GAD Financial Assistance Program,Active
25-0401,Espiritu,Bea,E.,Bachelor of Science in Statistics,2nd Year,"Nampican, Nueva Ecija",0918-501-3203,espiritu.bea@clsu2.edu.ph,2025-2026,1st Semester,Government,GAD Financial Assistance Program,Active
24-0408,Ferrer,Warren,F.,MS Education,Graduate,"Sto. Domingo, Nueva Ecija",0925-508-3224,ferrer.warren@clsu2.edu.ph,2025-2026,1st Semester,Government,CHED Sikap,Active
24-0415,Guevarra,Gizelle,G.,Master in Language & Literature,Graduate,"Llanera, Nueva Ecija",0932-515-3245,guevarra.gizelle@clsu2.edu.ph,2025-2026,2nd Semester,Government,CHED Sikap,Active
24-0422,Hernandez,Xavier,H.,MS Development Communication,Graduate,"Talugtug, Nueva Ecija",0939-522-3266,hernandez.xavier@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-ASTHRDP-NSC,Active
24-0429,Isip,Nicole,J.,Master in Agri-business,Graduate,"Peñaranda, Nueva Ecija",0946-529-3287,isip.nicole@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-ASTHRDP-NSC,Active
24-0436,Jimenez,Adrian,K.,MS Animal Science,Graduate,"Jaen, Nueva Ecija",0953-536-3308,jimenez.adrian@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-SEI-CBPSME,Active
24-0443,Katigbak,Melissa,L.,Master in Business Administration,Graduate,"Rizal, Nueva Ecija",0960-543-3329,katigbak.melissa@clsu2.edu.ph,2025-2026,2nd Semester,Government,DOST-SEI-CBPSME,Active
24-0450,Lazaro,Jomari,M.,MS Agricultural Economics,Graduate,"Laur, Nueva Ecija",0967-550-3350,lazaro.jomari@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-ERDT,Active
24-0457,Dela Cruz,Angel,N.,MS Education,Graduate,"Licab, Nueva Ecija",0974-557-3371,delacruz.angel@clsu2.edu.ph,2025-2026,1st Semester,Government,DOST-ERDT,Active
23-0471,Reyes,Kurt,R.,Bachelor of Science in Agriculture,3rd Year,"Lupao, Nueva Ecija",0988-571-3413,reyes.kurt@clsu2.edu.ph,2025-2026,1st Semester,Private,Bounty Cares Foundation Inc.,Active
22-0478,Bautista,Divine,S.,Bachelor of Science in Development Communication,4th Year,"San Antonio, Nueva Ecija",0995-578-3434,bautista.divine@clsu2.edu.ph,2025-2026,2nd Semester,Private,Bounty Cares Foundation Inc.,For renewal
26-0485,Villanueva,Aldrin,T.,Bachelor of Science in Psychology,1st Year,"Santa Rosa, Nueva Ecija",0922-585-3455,villanueva.aldrin@clsu2.edu.ph,2025-2026,1st Semester,Private,Crop Protection Association of the Philippines (CPAP),Documents incomplete
25-0492,Garcia,Precious,V.,Bachelor of Arts in Literature,2nd Year,"Cuyapo, Nueva Ecija",0929-592-3476,garcia.precious@clsu2.edu.ph,2025-2026,1st Semester,Private,Crop Protection Association of the Philippines (CPAP),Pending verification
24-0499,Torres,Gino,W.,Bachelor of Arts in Social Sciences,3rd Year,"Gabaldon, Nueva Ecija",0936-599-3497,torres.gino@clsu2.edu.ph,2025-2026,2nd Semester,Private,GOKONGWEI BROTHERS,Active
23-0506,Ramos,Alyssa,A.,Bachelor of Science in Information Technology,4th Year,"Palayan City, Nueva Ecija",0943-606-3518,ramos.alyssa@clsu2.edu.ph,2025-2026,1st Semester,Private,Iskolar ng LandBank,Active
22-0513,Mendoza,Ryan,B.,Bachelor of Arts in International Studies – Global Sustainable Development,5th Year,"Carranglan, Nueva Ecija",0950-613-3539,mendoza.ryan@clsu2.edu.ph,2025-2026,1st Semester,Private,Pilipinas Shell Foundation Inc. (Medical Scholarship Program),Active
26-0520,Cruz,Camille,C.,Bachelor of Science in Accountancy,1st Year,"General Tinio, Nueva Ecija",0957-620-3560,cruz.camille@clsu2.edu.ph,2025-2026,1st Semester,Private,Pilipinas Shell Foundation Inc. (Medical Scholarship Program),Active
25-0527,Aquino,Elmer,D.,Bachelor of Science in Business Administration – Marketing Management,2nd Year,"Muñoz, Nueva Ecija",0964-627-3581,aquino.elmer@clsu2.edu.ph,2025-2026,2nd Semester,Private,Philchema Inc,For renewal
24-0534,Flores,Jenny,E.,Bachelor of Science in Business Administration – Business Economics,3rd Year,"Cabanatuan City, Nueva Ecija",0971-634-3602,flores.jenny@clsu2.edu.ph,2025-2026,1st Semester,Private,Philchema Inc,Documents incomplete
23-0541,Navarro,Vince Michael,F.,Bachelor of Science in Business Administration – Human Resource Management,4th Year,"Talavera, Nueva Ecija",0978-641-3623,navarro.vince@clsu2.edu.ph,2025-2026,1st Semester,Private,Philippine Development Foundation (PhilDev),Pending verification
22-0548,Domingo,Frances,G.,Bachelor of Science in Entrepreneurship,5th Year,"Guimba, Nueva Ecija",0985-648-3644,domingo.frances@clsu2.edu.ph,2025-2026,1st Semester,Private,Philippine Development Foundation (PhilDev),Active
26-0555,Ocampo,Louie,H.,Bachelor of Science in Management Accounting,1st Year,"Gapan City, Nueva Ecija",0992-655-3665,ocampo.louie@clsu2.edu.ph,2025-2026,2nd Semester,Private,SANTEH,Active
25-0562,Pascual,Marjorie,J.,Bachelor of Physical Education,2nd Year,"San Jose City, Nueva Ecija",0919-662-3686,pascual.marjorie@clsu2.edu.ph,2025-2026,1st Semester,Private,SANTEH,Active
24-0569,Ignacio,Roel,K.,Bachelor of Secondary Education – Math,3rd Year,"Zaragoza, Nueva Ecija",0926-669-3707,ignacio.roel@clsu2.edu.ph,2025-2026,1st Semester,Private,UNAHCO,Active
23-0576,Del Rosario,Angeline,L.,Bachelor of Secondary Education – Filipino,4th Year,"Aliaga, Nueva Ecija",0933-676-3728,delrosario.angeline@clsu2.edu.ph,2025-2026,1st Semester,Private,UNAHCO,For renewal
22-0583,Manalo,Bryan,M.,Bachelor of Secondary Education – Values Education,5th Year,"Bongabon, Nueva Ecija",0940-683-3749,manalo.bryan@clsu2.edu.ph,2025-2026,2nd Semester,Private,Vicente B Bello Scholarship,Documents incomplete
26-0590,Castillo,Karen,N.,Bachelor of Secondary Education – English,1st Year,"Cabiao, Nueva Ecija",0947-690-3770,castillo.karen@clsu2.edu.ph,2025-2026,1st Semester,Private,Vicente B Bello Scholarship,Pending verification
25-0597,Valdez,Vergel,P.,Bachelor of Secondary Education – Science,2nd Year,"Quezon, Nueva Ecija",0954-697-3791,valdez.vergel@clsu2.edu.ph,2025-2026,1st Semester,Private,ZOETIS,Active
24-0604,Salazar,Rowena,R.,Bachelor of Elementary Education,3rd Year,"San Isidro, Nueva Ecija",0961-704-3812,salazar.rowena@clsu2.edu.ph,2025-2026,1st Semester,Private,ZOETIS,Active
